
Base,Base wt %,Support,Support wt %,Best_H2CO2_ratio,Best_MeOH_yield_ratio,Delta_yield_ratio,Is_Top,Is_Stable,Is_Selected,Is_Tested
Cu,21.69358585858586,CeO2-ZrO2,65.0,2.0,10.387462661999995,0.0,True,True,True,True
Zr,20.0,CeO2-ZrO2,65.0,2.0,10.253578221239472,0.0,True,True,True,False
Zn,21.70344827586207,CeO2-ZrO2,65.0,2.0,10.253578221239472,0.0,True,True,True,False
NiGa,20.0,CeO2-ZrO2,65.0,2.0,10.244995085239474,0.0,True,True,True,False
Zn,21.70344827586207,ZnO - Al2O3,66.0,2.0,10.129839746725708,0.0220577962000003,True,True,True,False
Zr,20.0,ZnO - Al2O3,66.0,2.0,10.129839746725708,0.0220577962000003,True,True,True,False
Cu,21.69358585858586,ZnO - Al2O3,66.0,2.0,10.12134055688623,0.0220577962000003,True,True,True,True
NiGa,20.0,ZnO - Al2O3,66.0,2.0,10.040898176725706,0.0220577962000003,True,True,True,False
Cu,21.69358585858586,Al2O3,56.67370689655172,2.0,9.694260681999994,0.0,True,True,True,True
Zr,20.0,Al2O3,56.67370689655172,2.0,9.584591331239473,0.0,True,True,True,True
Zn,21.70344827586207,Al2O3,56.67370689655172,2.0,9.584591331239473,0.0,True,True,True,True
NiGa,20.0,Al2O3,56.67370689655172,2.0,9.563378435239471,0.0,True,True,True,False
Zr,20.0,ZnO,57.98146341463415,2.0,9.484023516725706,0.0220577961999985,True,True,True,True
Zn,21.70344827586207,ZnO,57.98146341463415,2.0,9.484023516725706,0.0220577961999985,True,True,True,False
Cu,21.69358585858586,ZnO,57.98146341463415,2.0,9.48037476688623,0.0220577962000003,True,True,True,True
Co,7.5,CeO2-ZrO2,65.0,4.0,9.426374733828888,0.0286248735200018,True,True,True,False
NiGa,20.0,ZnO,57.98146341463415,2.0,9.399932386725707,0.0220577961999985,True,True,True,False
Ag,8.333333333333334,CeO2-ZrO2,65.0,4.0,9.349263133828888,0.02862487352,True,True,True,False
Ni,9.7,CeO2-ZrO2,65.0,4.0,9.228631089434591,0.0271499295200001,True,True,True,False
